label,in_change,out_change,in_file,out_file,in_loc,out_loc,in_change_file_r,out_change_file_r,in_change_loc_r,out_change_loc_r
32,0.0,68,1,739,62,114064,0.0,0.09201623815967523,0.0,9.615428124109159e-06
33,30.0,680,6,734,450,113676,0.8333333333333334,0.15440508628519528,0.00014814814814814815,1.3293141130151581e-05
34,0.0,15,1,739,17,114109,0.0,0.02029769959404601,0.0,7.732544682509448e-06
35,0.0,31,1,739,108,114018,0.0,0.04194857916102842,0.0,2.5174712504783196e-06
36,12.0,222,4,736,103,114023,0.75,0.07540760869565218,0.0011311150909605052,1.8902675827028254e-05
37,0.0,67,3,737,339,113787,0.0,0.030303030303030304,0.0,1.7369305631935132e-06
38,4.0,581,2,738,572,113554,1.0,0.39363143631436315,1.2225536701061176e-05,8.944944834477568e-06
39,0.0,134,2,738,158,113968,0.0,0.09078590785907859,0.0,7.441573650698308e-06
40,1.0,8,2,738,50,114076,0.25,0.005420054200542005,0.0004,1.4025737227813037e-06
41,15.0,1009,4,736,2298,111828,0.9375,0.34273097826086957,2.8404765637959674e-06,3.926364225951498e-06
42,1.0,382,2,738,266,113860,0.25,0.2588075880758808,1.4133077053536096e-05,1.2612772049568855e-05
43,1.0,243,2,738,441,113685,0.25,0.16463414634146342,5.141890467449262e-06,4.846905116446895e-06
44,0.0,6,1,739,14,114112,0.0,0.008119079837618403,0.0,3.755708677189328e-06
45,0.0,67,2,738,41,114085,0.0,0.04539295392953929,0.0,1.4323936901988996e-05
46,0.0,18,1,739,154,113972,0.0,0.02435723951285521,0.0,1.0255423865784305e-06
47,11.0,611,3,737,354,113772,1.2222222222222223,0.27634554500226144,8.777809697085767e-05,1.5170592945232323e-05
48,12.0,69,4,736,343,113783,0.75,0.0234375,0.00010199831702776904,1.7679809880036341e-06
49,0.0,3,2,738,560,113566,0.0,0.0020325203252032522,0.0,4.71720660861777e-08
50,5.0,557,4,736,292,113834,0.3125,0.18919836956521738,5.8641396134359164e-05,1.6757157321848856e-05
51,0.0,124,1,739,130,113996,0.0,0.16779431664411368,0.0,8.367365116724743e-06
52,0.0,60,1,739,119,114007,0.0,0.08119079837618404,0.0,4.422550200183049e-06
53,3.0,283,3,737,1577,112549,0.3333333333333333,0.127996381727725,1.2063070558106002e-06,1.5944580649162248e-06
54,0.0,39,1,739,15,114111,0.0,0.05277401894451962,0.0,2.278483231239758e-05
55,0.0,25,1,739,35,114091,0.0,0.03382949932341001,0.0,6.260666610738045e-06
56,0.0,88,1,739,545,113581,0.0,0.11907983761840325,0.0,1.4216100396039556e-06
57,4.0,241,2,738,89,114037,1.0,0.1632791327913279,0.0005049867440979674,2.3745496361175107e-05
58,1.0,44,2,738,138,113988,0.25,0.02981029810298103,5.250997689561016e-05,2.7971416264005414e-06
59,0.0,89,1,739,19,114107,0.0,0.12043301759133965,0.0,4.105103566228005e-05
60,0.0,0,1,739,6,114120,0.0,0.0,0.0,0.0
61,0.0,6,1,739,9,114117,0.0,0.008119079837618403,0.0,5.8419575231268494e-06
62,2.0,118,2,738,137,113989,0.5,0.07994579945799458,0.00010655868719697373,7.556113911106674e-06
63,2.0,41,4,736,284,113842,0.125,0.013926630434782608,2.479666732791113e-05,1.2681277312687636e-06
64,0.0,19,1,739,6,114120,0.0,0.02571041948579161,0.0,2.774856875803248e-05
65,2.0,30,2,738,80,114046,0.5,0.02032520325203252,0.0003125,3.288146888097785e-06
66,0.0,51,1,739,82,114044,0.0,0.06901217861975643,0.0,5.453607550701441e-06
67,9.0,769,3,737,778,113348,1.0,0.34780642243328813,1.4869053204776601e-05,8.720329221571477e-06
68,0.0,199,1,739,140,113986,0.0,0.2692828146143437,0.0,1.2470203107649811e-05
69,1.0,6,3,737,404,113722,0.1111111111111111,0.0027137042062415195,6.126850308793255e-06,1.3059465317629704e-07
70,0.0,36,2,738,74,114052,0.0,0.024390243902439025,0.0,4.265479662666911e-06
71,0.0,26,1,739,56,114070,0.0,0.035182679296346414,0.0,4.070182469411014e-06
72,0.0,7,1,739,61,114065,0.0,0.009472259810554804,0.0,1.0060412778736312e-06
73,4.0,253,2,738,329,113797,1.0,0.1714092140921409,3.695457359041398e-05,6.75762067968683e-06
74,0.0,33,1,739,25,114101,0.0,0.044654939106901215,0.0,1.1568697907993795e-05
75,2.0,277,3,737,225,113901,0.2222222222222222,0.1252826775214835,3.950617283950617e-05,1.0808606694507609e-05
76,1.0,44,2,738,82,114044,0.25,0.02981029810298103,0.000148720999405116,4.705073180997322e-06
77,3.0,131,3,737,434,113692,0.3333333333333333,0.05924920850293985,1.5927286627450146e-05,2.654921348664376e-06
78,23.0,1228,6,734,878,113248,0.6388888888888888,0.27883742052679383,2.983587673372388e-05,1.2350180642511912e-05
79,3.0,167,2,738,269,113857,0.75,0.11314363143631437,4.1458796865714956e-05,5.452610237984234e-06
80,0.0,3,1,739,4,114122,0.0,0.0040595399188092015,0.0,6.5719142671877464e-06
81,0.0,3,1,739,87,114039,0.0,0.0040595399188092015,0.0,3.0237689405106724e-07
82,0.0,4,1,739,54,114072,0.0,0.005412719891745603,0.0,6.493624559407574e-07
83,6.0,66,3,737,130,113996,0.6666666666666666,0.029850746268656716,0.00035502958579881655,4.453597562127686e-06
84,1.0,347,2,738,232,113894,0.25,0.2350948509485095,1.8579072532699166e-05,1.3132295425328935e-05
85,0.0,118,1,739,42,114084,0.0,0.15967523680649526,0.0,2.462679963468856e-05
86,4.0,570,2,738,1090,113036,1.0,0.3861788617886179,3.3667199730662403e-06,4.6262764058929344e-06
87,8.0,516,4,736,970,113156,0.5,0.17527173913043478,8.502497608672547e-06,4.701109644089557e-06
